団体コード,地域,都道府県名,市区町村名,都道府県名市区町村名,基本構想作成,URL,Google検索
222127,中部,静岡県,焼津市,静岡県焼津市,TRUE,,https://www.google.com/search?q=バリアフリー基本構想 静岡県焼津市
222135,中部,静岡県,掛川市,静岡県掛川市,,,https://www.google.com/search?q=バリアフリー基本構想 静岡県掛川市
222143,中部,静岡県,藤枝市,静岡県藤枝市,TRUE,,https://www.google.com/search?q=バリアフリー基本構想 静岡県藤枝市
222151,中部,静岡県,御殿場市,静岡県御殿場市,TRUE,,https://www.google.com/search?q=バリアフリー基本構想 静岡県御殿場市
222160,中部,静岡県,袋井市,静岡県袋井市,TRUE,,https://www.google.com/search?q=バリアフリー基本構想 静岡県袋井市
222194,中部,静岡県,下田市,静岡県下田市,,,https://www.google.com/search?q=バリアフリー基本構想 静岡県下田市
222208,中部,静岡県,裾野市,静岡県裾野市,,,https://www.google.com/search?q=バリアフリー基本構想 静岡県裾野市
222216,中部,静岡県,湖西市,静岡県湖西市,,,https://www.google.com/search?q=バリアフリー基本構想 静岡県湖西市
222224,中部,静岡県,伊豆市,静岡県伊豆市,,,https://www.google.com/search?q=バリアフリー基本構想 静岡県伊豆市
222232,中部,静岡県,御前崎市,静岡県御前崎市,,,https://www.google.com/search?q=バリアフリー基本構想 静岡県御前崎市
222241,中部,静岡県,菊川市,静岡県菊川市,,,https://www.google.com/search?q=バリアフリー基本構想 静岡県菊川市
222259,中部,静岡県,伊豆の国市,静岡県伊豆の国市,,,https://www.google.com/search?q=バリアフリー基本構想 静岡県伊豆の国市
222267,中部,静岡県,牧之原市,静岡県牧之原市,,,https://www.google.com/search?q=バリアフリー基本構想 静岡県牧之原市
223018,中部,静岡県,東伊豆町,静岡県東伊豆町,,,https://www.google.com/search?q=バリアフリー基本構想 静岡県東伊豆町
223026,中部,静岡県,河津町,静岡県河津町,,,https://www.google.com/search?q=バリアフリー基本構想 静岡県河津町
223042,中部,静岡県,南伊豆町,静岡県南伊豆町,,,https://www.google.com/search?q=バリアフリー基本構想 静岡県南伊豆町
223051,中部,静岡県,松崎町,静岡県松崎町,,,https://www.google.com/search?q=バリアフリー基本構想 静岡県松崎町
